,favourites_count,followers_count,friends_count,listed_count,retweet_count,statuses_count,text_length
2066,14933,873,1264,31,2,27130,135
2067,0,120,0,8,0,13825,132
2068,5855,381,631,13,0,9106,119
2069,1964,122,29,1,42,2491,140
2070,169634,1407,789,127,42,120866,140
2071,423,4229,2675,88,0,53461,87
2072,13343,491,988,2,12,36134,114
2073,118,74,56,3,0,2693,139
2074,169634,1407,789,127,42,120866,127
2075,64,4160,116,91,0,103603,115
2076,64,4160,116,91,0,103603,70
2077,64,4160,116,91,0,103603,93
2078,1513,149,1012,2,0,4489,74
2079,819,12,84,1,0,230,53
2080,31287,777,473,38,15,26416,137
2081,4975,179,157,16,419,12403,133
2082,145,527,1580,15,1,547,122
2083,2603,525,764,12,3,2996,70
2084,153,4,30,0,1,120,140
2085,8413,310,1301,5,924,26865,104
2086,6793,846,397,8,1,30714,63
2087,2304,127,137,6,1,11156,71
2088,19905,225,73,27,26,19952,140
2089,230,264,576,5,0,8481,131
2090,48990,216,368,34,298,31866,140
2091,34420,1634,4034,33,0,22346,138
2092,30525,1932,472,71,0,46419,129
2093,64385,375,274,87,0,113303,140
2094,38762,2689,2601,165,3,105870,140
2095,19905,225,73,27,1,19952,91
2096,50431,2362,3016,78,2,116901,140
2097,42533,2920,1359,55,2,87009,127
2098,84760,4160,974,164,2,80605,133
2099,64,4160,116,91,0,103603,57
2100,57,13,44,1,906,1393,139
2101,53194,3197,3581,74,4,27425,80
2102,633,919,847,4,351,3229,144
2103,95315,343,328,96,28,109135,140
2104,663,230,764,10,4,6591,140
2105,71468,2129,1987,133,1,87536,124
2106,64,4160,116,91,0,103603,104
2107,2124,360,1036,27,0,6395,121
2108,4232,8336,3893,288,0,390582,87
2109,201,52,84,2,3,703,137
2110,92621,24033,2562,361,1,102227,120
2111,2279,122,201,2,0,2133,138
2112,688,179,393,5,0,2073,118
2113,62848,2435,1561,86,1,73629,140
2114,7300,731,517,93,1,34488,140
2115,22497,1234,1117,30,0,60512,140
2116,1695,1278,1563,14,0,20082,37
2117,5226,533,980,7,3,5338,140
2118,28847,5408,5716,189,0,152459,80
2119,688,179,393,5,0,2073,122
2120,3221,144,604,3,1,7207,140
2121,318,46,69,6,0,2863,46
2122,61582,840,911,54,4,29063,129
2123,404,13,29,0,6,786,140
2124,21799,430,532,23,1,60331,136
2125,4962,235,296,5,4,8149,140
2126,2998,560,263,6,0,6480,66
2127,180805,3145,2669,140,351,128685,144
2128,19905,225,73,27,1,19952,75
2129,90,16,38,0,26,68,140
2130,1229,113,168,5,28,3669,140
2131,16258,711,63,119,0,157735,81
2132,345,886,961,5,0,9240,137
2133,2422,881,1553,10,0,5301,129
2134,948,132,491,2,146,2417,140
2135,93756,2341,4961,82,42,77606,140
2136,69435,1804,902,54,0,41033,137
2137,63102,751,1168,121,62,52224,140
2138,4680,60,92,3,395,16044,137
2139,113,72,199,5,17,423,130
2140,53879,1837,1225,155,0,81612,77
2141,20,77,43,30,0,27072,96
2142,7471,666,302,16,12,14987,123
2143,93680,1426,679,25,2,68869,140
2144,118,760,195,68,6,16499,137
2145,119252,1817,475,50,2,185397,133
2146,29282,738,1060,64,0,28792,50
2147,16957,320,614,12,1,3717,140
2148,688,179,393,5,0,2073,114
2149,46814,512,1232,32,3,18888,135
2150,33103,43565,10182,1881,0,167106,136
2151,151,117,212,1,1,932,140
2152,1695,1278,1563,14,0,20082,36
2153,71464,476,2477,27,28,43166,140
2154,437,1515,1188,441,0,19163,136
2155,520322,1557,750,47,12,841974,114
2156,10225,1148,1020,4,2,9674,140
2157,688,179,393,5,0,2073,118
2158,3351,451,1076,15,0,8654,69
2159,523784,3995,2479,303,12,499699,138
2160,64385,375,274,87,0,113303,78
2161,7300,731,517,93,1,34488,140
